product_id,id_web,nom_produit,prix_unitaire,z_score,ventes_totales,chiffre_affaires,stock
4079,13078,Le Vieux Donjon Châteauneuf-du-Pape 2013,37.0,0.1627,0.0,0.0,0
6101,14089,Stéphane Tissot Arbois Blanc La Mailloche 2016,36.9,0.1591,0.0,0.0,16
5551,13957,Thierry Germain Saumur-Champigny Franc De Pied 2017,36.3,0.1375,0.0,0.0,18
4653,13515,Thierry Germain Saumur-Champigny Franc De Pied 2016,36.2,0.1339,0.0,0.0,18
5914,14265,Darnley's London Dry Gin Spiced,36.0,0.1267,1.0,36.0,2
5913,10014,Darnley's London Dry Gin Original,36.0,0.1267,0.0,0.0,9
6664,15661,Catherine et Claude Maréchal Savigny-Lès-Beaune Rouge 2017,35.6,0.1124,0.0,0.0,38
5766,15179,Camille Giroud Auxey-Duresses Blanc 2017,35.6,0.1124,0.0,0.0,30
5768,15183,Camille Giroud Maranges Rouge 1er Cru Le Croix Moines 2016,35.6,0.1124,1.0,35.6,0
4336,13599,Champagne Mailly Grand Cru Blanc de Pinot Noir,35.5,0.1088,1.0,35.5,36
5393,12494,Australie Harkham Wines Old Vines 2011,35.3,0.1016,0.0,0.0,9
6621,15204,Thierry Germain Saumur-Champigny La Marginale 2018,35.2,0.098,3.0,105.6,69
5902,14095,Stéphane Tissot Arbois Pinot Noir Sous La Tour 2016,35.1,0.0944,0.0,0.0,9
4107,14800,Emile Boeckel Pinot Noir Terres Rouges 2016,35.0,0.0908,0.0,0.0,35
6105,14090,Stéphane Tissot Côtes du Jura Sursis 2017,34.8,0.0836,7.0,243.6,1
5573,14729,Domaine Huet Vouvray Le Clos du Bourg Demi-Sec 2017,34.7,0.08,0.0,0.0,5
5770,15178,Camille Giroud Santenay Blanc 2017,34.4,0.0693,4.0,137.6,54
4040,15303,Pierre Jean Villa Saint-Joseph Saut De l'Ange 2018,34.3,0.0657,0.0,0.0,0
3849,15296,Pierre Jean Villa Saint-Joseph Rouge Tildé 2017,34.3,0.0657,0.0,0.0,0
5550,13958,Thierry Germain Saumur-Champigny La Marginale 2017,34.3,0.0657,0.0,0.0,0
4052,16030,Clos du Mont-Olivet Châteauneuf-du-Pape Blanc 2019,33.7,0.0441,6.0,202.2,35
5769,15254,Camille Giroud Marsannay Rouge Les Longeroies 2016,33.6,0.0405,0.0,0.0,0
4654,13514,Thierry Germain Saumur-Champigny La Marginale 2016,33.4,0.0333,0.0,0.0,0
5485,16131,Decelle-Villa Savigny-Lès-Beaune Blanc 2018,33.4,0.0333,3.0,100.2,13
4071,15953,Château de Vaudieu Châteauneuf-du-Pape Rouge 2015,33.2,0.0261,19.0,630.8,16
6626,15790,Weingut Besson-Strasser Zürich Räuschling 2018,33.2,0.0261,0.0,0.0,1
6104,14092,Stéphane Tissot Arbois Blanc Savagnin 2015,33.2,0.0261,0.0,0.0,0
4147,15648,Champagne Mailly Grand Cru Extra Brut Millésimé 2012,33.0,0.019,3.0,99.0,7
5773,15264,Decelle-Villa Auxey-Duresses Blanc 2017,32.8,0.0118,3.0,98.4,18
6615,16071,Clos du Mont-Olivet Châteauneuf-du-Pape 2018,32.8,0.0118,0.0,0.0,8
4041,14975,Pierre Gaillard Condrieu 2018,32.7,0.0082,0.0,0.0,15
4708,14700,Albert Mann Pinot Gris Grand Cru Furstentum 2016,32.6,0.0046,8.0,260.8,15
6628,15792,Weingut Besson-Strasser Zürich Blauer Zweigelt 2016,32.2,-0.0098,0.0,0.0,31
4605,15148,Catherine et Claude Maréchal Savigny-Lès-Beaune Rouge 2016,32.2,-0.0098,0.0,0.0,1
4258,14485,Domaine Huet Vouvray Le Mont Sec 2017,32.1,-0.0134,5.0,160.5,0
4072,12045,Château de Vaudieu Châteauneuf-du-Pape Blanc 2015,32.0,-0.017,1.0,32.0,28
5709,15035,Philippe Alliet Chinon Rouge Coteau de Noiré 2016,31.7,-0.0277,0.0,0.0,0
4257,12476,Domaine Huet Vouvray Le Mont Moelleux 2015,31.7,-0.0277,0.0,0.0,0
4108,15353,Zind-Humbrecht Riesling Herrenweg de Turckheim 2017,31.7,-0.0277,2.0,63.4,0
4705,14699,Albert Mann Gewurztraminer Grand Cru Steingrubler 2016,31.6,-0.0313,8.0,252.8,12
4602,15659,Catherine et Claude Maréchal Chorey-Lès-Beaune 2017,31.5,-0.0349,7.0,220.5,26
4603,15147,Catherine et Claude Maréchal Ladoix Rouge Les Chaillots 2017,31.5,-0.0349,1.0,31.5,39
4042,16042,Pierre Gaillard Cornas 2017,31.2,-0.0457,7.0,218.4,34
6204,14604,Domaine Giudicelli Muscat du Cap Corse 2016,31.0,-0.0529,7.0,217.0,7
5564,15748,Tempier Bandol Rouge 2017,30.8,-0.0601,3.0,92.4,21
4618,14372,Alphonse Mellot Sancerre Rouge La Moussière 2014,30.6,-0.0673,0.0,0.0,3
5608,15944,Domaine Weinbach Gewurztraminer Cuvée Théo 2018,30.5,-0.0709,2.0,61.0,20
4687,15582,Cosse-Maisonneuve Cahors Le Sid 2014,30.1,-0.0852,0.0,0.0,36
5962,16326,Camin Larredya Jurançon Moelleux Au Capcéu 2018,30.0,-0.0888,0.0,0.0,22
4303,13172,Rimauresq Côtes de Provence Rouge Cru Classé Quintessence 2015,30.0,-0.0888,0.0,0.0,0
5697,16094,Planeta Sicilia Noto Santa Cecilia 2016,29.9,-0.0924,0.0,0.0,1
4228,12657,Domaine de Bellivière Jasnières Les Rosiers 2015,29.9,-0.0924,0.0,0.0,8
4678,15281,Domaine Rotier Gaillac Rouge L'Ame 2016,29.8,-0.096,0.0,0.0,30
4137,13209,Zind-Humbrecht Muscat Grand Cru Goldert 2015,29.8,-0.096,0.0,0.0,0
6095,15489,Château de Villeneuve Saumur-Champigny Le Grand Clos 2017,29.8,-0.096,0.0,0.0,3
5772,15180,Camille Giroud Santenay Rouge 2016,29.7,-0.0996,1.0,29.7,47
4728,15729,Maurice Schoech Gewurztraminer Vendanges Tardives 2017,29.5,-0.1068,2.0,59.0,20
4146,1360,Champagne Mailly Grand Cru Brut Réserve,29.5,-0.1068,0.0,0.0,33
4783,13754,Maurice Schoech Pinot Gris Vendanges Tardives 2015,29.5,-0.1068,0.0,0.0,5
5703,11736,Domaine de l'Ecu Muscadet Taurus 2012,29.4,-0.1104,0.0,0.0,1
6570,15706,Decelle-Villa Marsannay Les Longeroies 2015,29.2,-0.1176,0.0,0.0,0
6569,15705,Decelle-Villa Chorey-Lès-Beaune 2016,29.0,-0.1247,3.0,87.0,6
4723,15879,François Baur Pinot Noir Sang Du Dragon 2017,29.0,-0.1247,3.0,87.0,5
4153,16237,Elian Daros Côtes du Marmandais Clos Baquey 2015,29.0,-0.1247,36.0,1044.0,0
5384,14149,Liban Vallée de la Békaa Château Marsyas 2012,28.8,-0.1319,0.0,0.0,0
4784,15734,Maurice Schoech Riesling Vendanges Tardives 2017,28.5,-0.1427,0.0,0.0,10
4566,15457,Domaine de Montcalmès Coteaux du Languedoc Blanc 2017,28.5,-0.1427,0.0,0.0,3
4647,16525,Bernard Baudry Chinon Rouge La Croix Boissée 2017,28.5,-0.1427,8.0,228.0,48
4886,15773,Saumaize-Michelin Pouilly-Fuissé Clos sur la Roche 2018,28.4,-0.1463,5.0,142.0,48
6567,15779,"Decelle-Villa Côte de Nuits Villages ""Aux Montagnes"" 2014",28.4,-0.1463,0.0,0.0,9
5899,12339,Stéphane Tissot Arbois Blanc Les Bruyères 2015,28.1,-0.1571,4.0,112.4,0
4558,15426,Domaine de Montcalmès Terrasses du Larzac Rouge 2017,28.1,-0.1571,3.0,84.3,96
5630,12365,Parés Baltà Penedès Electio 2013,28.0,-0.1607,1.0,28.0,1
4239,16567,Domaine Augustin Collioure Blanc Adéodat 2019,28.0,-0.1607,0.0,0.0,18
4913,13814,Jean-Batiste Arena Muscat du Cap Corse 2015,28.0,-0.1607,0.0,0.0,16
4240,15436,Domaine Augustin Collioure Rouge Adéodat 2017,28.0,-0.1607,0.0,0.0,1
4893,15808,Jacqueson Rully Rouge 1er Cru Les Cloux 2018,27.9,-0.1643,3.0,83.7,0
4888,15776,Saumaize-Michelin Pouilly-Fuissé Les Ronchevats 2018,27.9,-0.1643,0.0,0.0,53
4891,15807,Jacqueson Rully Blanc 1er Cru La Pucelle 2018,27.9,-0.1643,36.0,1004.4,0
4752,14184,Domaine de Montgilet Coteaux de l'Aubance Les Trois Schistes 2016,27.9,-0.1643,0.0,0.0,42
6325,15678,Tempier Bandol Blanc 2018,27.9,-0.1643,0.0,0.0,7
5617,14844,Albert Boxler Pinot Gris Réserve 2016,27.8,-0.1679,3.0,83.4,12
4931,16280,Marcel Richaud Cairanne Rouge L'Ebrescade 2017,27.8,-0.1679,0.0,0.0,11
6665,16068,Domaine Hauvette IGP Alpilles Jaspe 2017,27.7,-0.1714,1.0,27.7,8
5566,16192,Le Pas de l'Escalette Terrasses du Larzac Le Grand Pas 2018,27.5,-0.1786,0.0,0.0,17
4395,11587,Wemyss Malts Blended Scotch Whisky Lord Elcho,27.5,-0.1786,0.0,0.0,8
7023,15891,Camin Larredya Jurançon Sec La Virada 2018,27.5,-0.1786,0.0,0.0,15
5000,15868,David Duband Côtes de Nuits Villages 2017,27.3,-0.1858,6.0,163.8,0
5807,15471,Château d'Arcole Saint-Emilion Grand Cru 2016,27.3,-0.1858,4.0,109.2,1
5903,14099,Stéphane Tissot Arbois Trousseau Singulier 2017,27.3,-0.1858,0.0,0.0,1
4196,13032,Château de La Liquière Faugères Tucade 2015,27.2,-0.1894,2.0,54.4,13
4283,16154,Château de Cazeneuve Pic Saint-Loup Le Roc Des Mates 2017,27.0,-0.1966,4.0,108.0,58
4254,12203,Domaine Huet Vouvray Haut-Lieu Demi-Sec 2015,26.9,-0.2002,0.0,0.0,0
4288,15292,Domaine Hauvette IGP Alpilles Jaspe 2017,26.7,-0.2074,1.0,26.7,8
6223,15324,Planeta Sicilia Chardonnay 2017,26.7,-0.2074,6.0,160.2,1
5893,13910,Gilbert Picq Chablis 1er Cru Vaucoupin 2016,26.6,-0.211,5.0,133.0,65
4215,15480,Marc Colin Et Fils Saint-Aubin Blanc Luce 2017,26.5,-0.2146,0.0,0.0,0
4600,15475,Marc Colin Et Fils Chassagne-Montrachet Rouge Vieilles Vignes 2017,26.5,-0.2146,0.0,0.0,0
4980,15229,Château La Tour l'Aspic Pauillac 2014,26.5,-0.2146,0.0,0.0,88
4757,14680,Domaine Saint-Nicolas Fiefs Vendéens Blanc Le Haut des Clous 2017,26.5,-0.2146,6.0,159.0,1
5491,15481,Marc Colin Et Fils Santenay Rouge 2017,26.5,-0.2146,0.0,0.0,15
6222,7032,Planeta Sicilia Passito di Noto 2016,26.4,-0.2181,0.0,0.0,10
4611,15452,Gilbert Picq Chablis Vosgros 1er Cru 2017,26.2,-0.2253,15.0,393.0,27
4727,16540,Paul Ginglinger Riesling Grand Cru Pfersigberg 2018,26.0,-0.2325,2.0,52.0,33
4912,15612,Jean-Baptiste Arena Patrimonio Rouge Grotte Di Sole 2018,25.9,-0.2361,6.0,155.4,10
4914,15613,Antoine-Marie Arena Patrimonio Hauts de Carco 2018,25.9,-0.2361,2.0,51.8,6
4915,15615,Jean-Baptiste Arena Patrimonio Blanc Morta Maio,25.9,-0.2361,8.0,207.2,14
4909,15614,Antoine-Marie Arena Vin de France Bianco Gentile 2018,25.9,-0.2361,0.0,0.0,27
4932,9937,Marcel Richaud Cairanne Rouge Les Estrambords 2011,25.7,-0.2433,4.0,102.8,0
